id,created_at,player,market,line,odds,sportsbook,prop_grade,prop_score,result,profit,opening_odds,closing_odds,clv
17,2026-05-06T22:28:14.126721,mikal bridges,player_points,11.5,-129,DraftKings,B,55.4,PENDING,0.0,-129,-129,0
18,2026-05-06T22:28:14.126721,mikal bridges,player_points,11.5,101,DraftKings,B,55.4,PENDING,0.0,101,101,0
19,2026-05-06T22:28:14.126721,quentin grimes,player_points,8.5,-104,DraftKings,A,73.7,PENDING,0.0,-104,-104,0
20,2026-05-06T22:28:14.126721,quentin grimes,player_points,8.5,-122,DraftKings,A,73.7,PENDING,0.0,-122,-122,0
21,2026-05-06T22:33:52.726869,quentin grimes,player_points,8.5,104,FanDuel,A,73.7,PENDING,0.0,104,104,0
22,2026-05-06T22:33:52.728869,quentin grimes,player_points,8.5,-132,FanDuel,A,73.7,PENDING,0.0,-132,-132,0
23,2026-05-06T22:33:52.728869,miles mcbride,player_points,7.5,100,FanDuel,B,68.15,PENDING,0.0,100,100,0
24,2026-05-06T22:33:52.729869,miles mcbride,player_points,7.5,-128,FanDuel,B,68.15,PENDING,0.0,-128,-128,0
25,2026-05-06T22:33:52.729869,mikal bridges,player_points,11.5,-113,FanDuel,B,55.4,PENDING,0.0,-113,-113,0
26,2026-05-06T22:33:52.729869,mikal bridges,player_points,11.5,-113,FanDuel,B,55.4,PENDING,0.0,-113,-113,0
27,2026-05-06T22:33:52.729869,mikal bridges,player_points,11.5,-129,DraftKings,B,55.4,PENDING,0.0,-129,-129,0
28,2026-05-06T22:33:52.729869,mikal bridges,player_points,11.5,101,DraftKings,B,55.4,PENDING,0.0,101,101,0
29,2026-05-06T22:33:52.729869,quentin grimes,player_points,8.5,-104,DraftKings,A,73.7,PENDING,0.0,-104,-104,0
30,2026-05-06T22:33:52.729869,quentin grimes,player_points,8.5,-122,DraftKings,A,73.7,PENDING,0.0,-122,-122,0
31,2026-05-06T22:39:06.237467,quentin grimes,player_points,8.5,106,FanDuel,A,73.7,PENDING,0.0,106,106,0
32,2026-05-06T22:39:06.241465,quentin grimes,player_points,8.5,-136,FanDuel,A,73.7,PENDING,0.0,-136,-136,0
33,2026-05-06T22:39:06.241465,miles mcbride,player_points,7.5,100,FanDuel,B,68.15,PENDING,0.0,100,100,0
34,2026-05-06T22:39:06.241465,miles mcbride,player_points,7.5,-128,FanDuel,B,68.15,PENDING,0.0,-128,-128,0
35,2026-05-06T22:39:06.241465,mikal bridges,player_points,11.5,-113,FanDuel,B,55.4,PENDING,0.0,-113,-113,0
36,2026-05-06T22:39:06.241465,mikal bridges,player_points,11.5,-113,FanDuel,B,55.4,PENDING,0.0,-113,-113,0
37,2026-05-06T22:39:06.241465,mikal bridges,player_points,11.5,-123,DraftKings,B,55.4,PENDING,0.0,-123,-123,0
38,2026-05-06T22:39:06.242462,mikal bridges,player_points,11.5,-104,DraftKings,B,55.4,PENDING,0.0,-104,-104,0
39,2026-05-06T22:39:06.242462,quentin grimes,player_points,8.5,-111,DraftKings,A,73.7,PENDING,0.0,-111,-111,0
40,2026-05-06T22:39:06.242462,quentin grimes,player_points,8.5,-115,DraftKings,A,73.7,PENDING,0.0,-115,-115,0
41,2026-05-06T23:34:45.662853,jalen brunson,player_points,23.5,-118,FanDuel,B,52.5,PENDING,0.0,-118,-118,0
42,2026-05-06T23:34:45.666850,jalen brunson,player_points,23.5,-112,FanDuel,B,52.5,PENDING,0.0,-112,-112,0
43,2026-05-06T23:34:45.666850,quentin grimes,player_points,9.5,-122,FanDuel,B,63.7,PENDING,0.0,-122,-122,0
44,2026-05-06T23:34:45.666850,quentin grimes,player_points,9.5,-108,FanDuel,B,63.7,PENDING,0.0,-108,-108,0
45,2026-05-06T23:34:45.666850,josh hart,player_points,8.5,-132,FanDuel,B,60.1,PENDING,0.0,-132,-132,0
46,2026-05-06T23:34:45.667852,josh hart,player_points,8.5,100,FanDuel,B,60.1,PENDING,0.0,100,100,0
47,2026-05-06T23:34:45.667852,tyrese maxey,player_points,25.5,-106,FanDuel,B,57.0,PENDING,0.0,-106,-106,0
48,2026-05-06T23:34:45.667852,tyrese maxey,player_points,25.5,-125,FanDuel,B,57.0,PENDING,0.0,-125,-125,0
49,2026-05-06T23:34:45.667852,miles mcbride,player_points,6.5,-130,FanDuel,A,78.15,PENDING,0.0,-130,-130,0
50,2026-05-06T23:34:45.667852,miles mcbride,player_points,6.5,-102,FanDuel,A,78.15,PENDING,0.0,-102,-102,0
