sport,market,game_id,matchup,line_source,side_a,side_b,line_a,line_b,odds_a,odds_b,timestamp
nba,spreads,862af0717b53a01b5e93a188a655d663,Cleveland Cavaliers at Detroit Pistons,MyBookie.ag,Cleveland Cavaliers,Detroit Pistons,3.5,-3.5,-110,-110,2026-05-06T23:32:43Z
nba,totals,862af0717b53a01b5e93a188a655d663,Cleveland Cavaliers at Detroit Pistons,MyBookie.ag,Over,Under,215.5,215.5,-110,-110,2026-05-06T23:32:43Z
nba,h2h,862af0717b53a01b5e93a188a655d663,Cleveland Cavaliers at Detroit Pistons,Bovada,Cleveland Cavaliers,Detroit Pistons,,,140,-165,2026-05-06T23:32:06Z
nba,spreads,862af0717b53a01b5e93a188a655d663,Cleveland Cavaliers at Detroit Pistons,Bovada,Cleveland Cavaliers,Detroit Pistons,3.5,-3.5,-110,-110,2026-05-06T23:32:06Z
nba,totals,862af0717b53a01b5e93a188a655d663,Cleveland Cavaliers at Detroit Pistons,Bovada,Over,Under,215.5,215.5,-110,-110,2026-05-06T23:32:06Z
nba,h2h,862af0717b53a01b5e93a188a655d663,Cleveland Cavaliers at Detroit Pistons,BetUS,Cleveland Cavaliers,Detroit Pistons,,,138,-160,2026-05-06T23:33:53Z
nba,spreads,862af0717b53a01b5e93a188a655d663,Cleveland Cavaliers at Detroit Pistons,BetUS,Cleveland Cavaliers,Detroit Pistons,3.5,-3.5,-110,-110,2026-05-06T23:33:53Z
nba,totals,862af0717b53a01b5e93a188a655d663,Cleveland Cavaliers at Detroit Pistons,BetUS,Over,Under,215.5,215.5,-110,-110,2026-05-06T23:33:53Z
nba,h2h,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,DraftKings,Los Angeles Lakers,Oklahoma City Thunder,,,600,-900,2026-05-06T23:33:35Z
nba,spreads,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,DraftKings,Los Angeles Lakers,Oklahoma City Thunder,15.5,-15.5,-110,-110,2026-05-06T23:33:35Z
nba,totals,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,DraftKings,Over,Under,209.5,209.5,-105,-115,2026-05-06T23:33:35Z
nba,h2h,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,BetMGM,Los Angeles Lakers,Oklahoma City Thunder,,,650,-1000,2026-05-06T23:34:28Z
